Element Label,S11,S22,S33,S12,S13,S23,Mises
480,-34522.59,-37542.777,-6617.85,1857.7845,5589.5825,1716.4629,31384.65625
481,3684.204,-402.03027,36244.19,3997.9314,-1640.1508,-2092.427,35763.8515625
482,-101271.04,-118230.22,-107285.984,11683.924,6098.2407,8598.8125,31059.802734375
483,-13793.705,-16436.879,-24371.816,3555.9976,2257.939,-6179.815,16084.88671875
484,16549.498,24958.512,-10538.91,-9474.272,-3547.3508,763.96466,36620.58984375
485,-6399.256,3317.9456,-6875.8877,-4258.521,-4231.449,991.6673,14503.5654296875
486,7558.029,-5948.466,-21114.09,-4350.476,-7086.4185,-720.96344,28744.515625
487,-12373.906,-12237.002,-22154.943,-1841.2429,-176.46971,-257.40738,10367.701171875
488,-17350.674,-13454.077,-11015.066,-13209.261,-4556.4487,2551.3887,25217.103515625
489,14921.119,25159.555,51306.4,-1570.6562,-5902.2275,8224.785,37027.51171875
490,-30386.258,-20386.719,-33399.9,4638.352,12063.611,-9181.369,29887.046875
491,-814.9868,-439.30957,-24257.58,-5031.77,-11218.889,726.1933,31837.583984375
492,27038.455,28702.13,48859.195,5639.1235,-1940.0336,1100.9384,23514.599609375
493,1545.9951,2663.5537,-26736.795,-9110.767,-6933.603,8968.178,38305.35546875
494,-6509.105,34820.09,11418.884,-1789.5956,5510.1753,-2508.6938,37525.19921875
495,51712.742,51390.277,50089.59,7469.155,-2762.481,9710.165,21802.197265625
496,-24600.47,-1808.852,1018.0674,6954.5234,8637.678,3078.6194,31452.150390625
497,15175.547,14020.989,13158.2295,15522.986,-4052.9485,4428.856,28880.55078125
498,-6999.404,-1847.8887,-9074.518,-3240.3623,4233.767,1874.0618,11719.416015625
499,1704.873,3951.4487,270.66028,-5997.0034,626.3883,-4368.449,13290.8017578125
500,2229.0767,632.2041,-17521.088,855.68427,2319.8591,-1263.81,19601.376953125
501,36768.242,28847.703,32027.89,-2193.6125,5457.6357,3950.8435,14081.20703125
502,-20341.682,1398.8164,-21661.916,-607.57874,-8782.38,8604.218,30946.576171875
503,21265.906,3319.5967,-127.373535,-13473.091,-3751.4937,-1922.1034,31522.833984375
504,5270.575,16487.916,26857.385,-13952.696,-677.763,1805.229,30738.580078125
505,-18076.188,-24871.363,-26000.406,-1756.2184,-2112.4236,5996.0664,13624.2265625
506,1451.4753,-12211.277,6604.8047,281.04416,4648.4307,-6203.8833,21544.40625
507,-19703.973,-26882.898,-29232.21,13443.959,-46.367744,3564.4026,25578.568359375
508,-3950.6682,-1542.5157,1853.1201,1562.225,1419.5032,2707.9553,7802.078125
509,24298.545,9733.3125,7806.3496,-3491.7788,-6169.4097,3089.375,20574.765625
510,5806.1206,5745.273,13365.185,867.27484,2195.7986,1397.9806,8954.732421875
511,3200.6372,4840.946,-10513.35,1299.69,5370.8403,775.6333,17511.978515625
512,35130.78,25670.432,31115.055,-5508.685,2572.7075,-815.688,13435.9013671875
513,19066.377,40528.81,49126.664,12326.937,-5173.851,-7122.2256,37515.7890625
514,-32775.18,-31201.684,-68257.875,-2559.1587,3132.8574,86.22086,36965.4453125
515,14987.068,3346.9404,13610.083,7220.9644,-1303.0918,371.6932,16831.3984375
516,-4106.004,-15825.952,-38374.31,-1565.7528,2578.527,-2225.2993,30857.87109375
517,8534.344,-9653.969,10451.903,-17304.701,9892.061,-1425.789,39590.203125
518,-4878.491,2872.382,8299.871,-1734.647,2696.8298,-2002.8115,13209.12109375
519,-2519.7239,4096.278,-3794.4668,-2011.7922,998.9054,3184.9148,9969.7822265625
520,-2140.8877,-2870.6338,-15101.148,3228.1533,453.42252,-2957.641,14736.546875
521,1477.2368,-1440.7653,-9829.661,2720.4282,2130.5916,4470.696,14112.013671875
522,-6795.339,-5906.512,-22021.06,-1008.28644,-6649.874,-1645.7056,19747.98828125
523,9582.545,29699.12,45143.703,9763.327,17.356913,-3019.7612,35598.1640625
524,7915.376,-15216.795,-6493.1494,7412.5737,4274.0586,-3029.28,25623.69140625
525,25825.752,32334.188,62568.67,5902.201,-4332.0596,-3728.4756,36820.859375
526,-2129.0054,-10111.618,3034.6235,-13060.972,-2973.361,-1625.601,26035.009765625
527,19480.475,10848.417,-2583.8564,3211.067,2113.9695,-1523.0709,20547.146484375
528,-92505.79,-98725.81,-130825.65,-2831.3257,-1547.6002,-1433.5408,36140.6875
529,12599.023,-21153.46,9306.692,1664.215,-140.04018,-4333.8105,33221.359375
530,2257.7344,-13743.109,-27472.45,-2191.4463,-14149.353,-4116.163,36469.86328125
531,4558.078,-888.5442,49.368042,-852.20905,-19.292175,169.86868,5263.400390625
532,32824.06,21162.584,10852.416,-4082.661,3858.8723,-5091.9307,23129.669921875
533,30899.174,30887.27,60731.266,303.3735,1297.2416,-1160.5066,29994.564453125
534,7042.0225,-6398.0796,3034.9592,8992.165,10488.962,-4254.0024,27744.53515625
535,2371.9004,-2893.856,-23743.21,-736.1603,8945.968,1234.3333,28609.419921875
536,3590.628,-204.43848,3445.4976,2439.5762,2123.0095,2039.7651,7598.08154296875
537,-2196.0195,-12548.268,28051.982,-4961.7036,-2902.2236,1101.6837,37921.11328125
538,-37716.24,-21841.578,-51367.38,-6011.592,-3265.0945,204.9781,28206.240234375
539,28537.18,1241.603,-12888.83,5098.063,2308.5789,992.4048,37780.01953125
540,-9540.31,14213.333,1780.9082,-2097.8208,-3187.4297,-1222.9636,21717.595703125
541,7359.9004,9313.631,12295.663,-3289.6482,13.451074,1459.2334,7575.595703125
542,985.4658,-1085.0566,-12015.9795,-6164.746,3955.1997,831.58905,17590.412109375
543,2670.1719,11221.524,8424.0,-4374.8936,-1120.3992,1248.382,11085.5537109375
544,-5409.753,-1858.2085,-8953.114,1592.5404,2956.6118,-185.3821,8466.970703125
545,-7912.848,-24193.77,-7080.927,3340.1274,6335.7974,-1303.6825,20935.6171875
546,-16552.107,-12478.593,-19910.277,-1674.1759,-2124.47,-714.0111,8064.02685546875
547,1082.8325,-12964.701,1404.2466,1742.5785,-6855.8037,-2987.35,19463.818359375
548,1180.5015,-26297.357,4053.477,-10855.818,-306.41757,-6358.264,36295.1875
549,-20550.113,-24468.582,-8044.449,9235.374,-6118.761,2063.0623,24529.81640625
550,2077.2896,5441.775,11697.553,3811.6572,6502.4087,2256.8374,16037.8330078125
551,-23242.482,-42695.25,-52595.438,507.78262,1759.2612,8286.815,29750.3359375
552,-3485.1921,-1602.6099,-14772.518,2952.779,610.22644,-1160.7024,13546.685546875
553,25939.17,2743.4844,6086.039,8879.876,-1545.8131,10539.694,32383.025390625
554,11690.389,-5025.972,-5038.3003,-825.45386,8330.485,720.27856,22168.3203125
555,22572.037,-7973.304,29.501093,9709.033,-3503.009,-1753.5178,32885.375
556,6848.8213,1502.355,6770.961,-1953.5515,3718.702,-4312.8906,11700.978515625
557,43459.133,46637.234,56836.0,-8898.498,811.9797,-5077.331,21526.576171875
558,1797.008,1971.1648,-1092.8813,-2359.7454,7300.276,-2362.5176,14220.2958984375
559,9356.728,-17283.705,-12299.573,2722.5786,-10982.039,12651.164,38288.1640625
560,22869.988,28208.578,55373.29,-8711.29,-3127.0657,2916.1736,34553.59375
561,15665.477,4970.0415,16786.715,889.8928,-6138.574,-1442.3629,15789.3916015625
562,-32080.314,-27540.383,-52582.875,-12999.642,7854.053,891.50116,35049.40625
563,-17290.932,-6097.6445,-9970.646,6679.4473,4056.8738,-3893.9272,18045.662109375
564,-9527.232,-5872.4526,-7474.2983,1825.716,-3489.1033,2127.072,8376.3642578125
565,-1959.3535,9984.704,25804.008,8575.1,-4145.9805,9060.813,33171.02734375
566,9740.758,10235.881,6782.406,1000.8028,-1567.1802,-2667.3608,6494.548828125
567,-3008.7026,-11395.548,2931.9678,7299.404,-5272.797,-12386.976,29308.986328125
568,-14471.459,-13163.953,-22938.0,838.6863,7134.9165,1280.3483,15627.2548828125
569,-8011.877,-8062.202,-13382.615,384.40775,6095.9077,4194.2793,13902.3955078125
570,26307.723,-10313.779,6033.5967,8325.546,-2804.7578,-53.626743,35231.49609375
571,9899.938,-3704.9092,466.98193,-1750.8859,-6381.1475,7200.884,20800.2578125
572,-4094.064,-13674.924,2340.375,1874.782,2282.2207,4661.711,16917.654296875
573,27319.854,9022.792,7328.292,-8202.807,-5283.2407,-25.575804,25578.431640625
574,-9659.705,-12519.426,11513.759,-3194.2666,1971.5144,11550.179,30976.349609375
